Nome: BOA VISTA;;;;;;
Codigo Estacao: 82024;;;;;;
Latitude: 2.82944443;;;;;;
Longitude: -60.66194444;;;;;;
Altitude: 84.18;;;;;;
Situacao: Operante;;;;;;
Data Inicial: 2010-01-01;;;;;;
Data Final: 2023-04-10;;;;;;
Periodicidade da Medicao: Mensal;;;;;;
;;;;;;
Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s)
31/01/2010;7;34,132258;24,245161;64,895161;3;1,268817
28/02/2010;9;35,292857;24,653571;66,383929;4;1,369048
31/03/2010;4;35,587097;25,367742;67,5;4;1,139785
30/04/2010;16;33,576667;24,51;81,825;3;0,366667
31/05/2010;23;32,7;24,283871;85,822581;2;0,35914
30/06/2010;23;33,18;23,613333;83,416667;2;0,333333
31/07/2010;23;32,629032;23,109677;84,58871;2;0,419355
31/08/2010;21;33,051613;22,941935;81,048387;2;0,468817
30/09/2010;9;32,982609;24,73;75,483333;3;0,597778
31/10/2010;6;null;25,03;70,040323;8,5;1,003226
30/11/2010;15;34,084;24,42;80,2;3;0,81
31/12/2010;13;33,725806;24,432258;76,491935;2,3;0,834409
31/01/2011;6;33,341935;23,890323;71,967742;4;1,46129
28/02/2011;6;34,375;24,678571;70,714286;3;1,257143
31/03/2011;10;33,112903;24,054839;75,08871;5;1,204301
30/04/2011;5;34,21;24,5;73,65;4;1,15
31/05/2011;29;31,977419;23,777419;87,443548;2;0,44086
30/06/2011;28;32,718519;23,881481;85,178571;3;0,305882
31/07/2011;23;33,270968;24,041935;83,314516;2;0,565591
31/08/2011;15;34,606452;24,041935;78,532258;2,2;0,677419
30/09/2011;12;35,233333;24,643333;74,575;2,5;0,661111
31/10/2011;10;35,025806;24,570968;74,975806;4;1,053763
30/11/2011;12;34,686667;24,756667;74,958333;3,5;0,924444
31/12/2011;5;34,612903;24,635484;70,435484;3;1,239785
31/01/2012;7;33,958065;24,558065;69,370968;4;1,665591
29/02/2012;10;33,403448;24,144828;69,405172;4;1,43908
31/03/2012;7;34,119355;24,454839;68,193548;3,5;1,306452
30/04/2012;20;33,066667;24,29;79,95;3;0,666667
31/05/2012;17;32,735484;23,883871;80,830645;3;0,612903
30/06/2012;14;33,23;24,233333;79,7;3;0,727778
31/07/2012;25;32,329032;23,722581;84,185484;3;0,317204
31/08/2012;24;33,051613;23,764516;81,903226;3;0,629032
30/09/2012;8;35,493333;24,606667;71,016667;2,5;1,038889
31/10/2012;7;36,380645;25,419355;68,790323;3;1,129032
30/11/2012;6;36,513333;24,993333;67,35;2,5;0,957778
31/12/2012;7;34,183871;24,690323;70,967742;3;1,050538
31/01/2013;0;34,958065;25,009677;62,080645;4;2,026882
28/02/2013;10;33,985714;24,521429;72,044643;3,5;1,434524
31/03/2013;4;35,077419;25,216129;65,258065;4,5;1,532258
30/04/2013;13;34,443333;25,023333;72,85;4;1,2
31/05/2013;24;32,506452;24,274194;84,072581;4;0,494624
30/06/2013;14;33,35;24,443333;79,841667;4;0,477778
31/07/2013;21;32,6;23,774194;80,419355;3;0,419355
31/08/2013;22;32,693548;23,758065;84,612903;2;0,478495
30/09/2013;13;35,02;24,543333;78,208333;2;0,616667
31/10/2013;9;35,648387;24,687097;69,201613;3;0,908602
30/11/2013;8;34,973333;24,583333;70,566667;3;0,938889
31/12/2013;7;34,1;24,877419;70,290323;3;1,234783
31/01/2014;3;34,583871;24,396774;65,895161;4,5;1,913978
28/02/2014;5;34,582143;24,535714;63,642857;4;1,511905
31/03/2014;6;35,27;25,222581;62,459677;5;1,708602
30/04/2014;10;34,33;24,71;71,275;4;1,124444
31/05/2014;9;34,922581;25,170968;71,814516;4;1,091398
30/06/2014;24;32,403333;24,166667;83,375;4;0,561111
31/07/2014;18;32,983871;23,82;85,645161;2,5722;0,627919
31/08/2014;18;33,263333;24,380645;81,808333;2,05776;0,531215
30/09/2014;6;36,156667;24,956667;67,933333;3,08664;1,177496
31/10/2014;9;35,529032;24,96129;73,669355;3,60108;0,873995
30/11/2014;8;35,493103;25,196667;71,965517;3,08664;0,976267
31/12/2014;6;35,006452;24,96;69,241935;5,1444;1,573229
31/01/2015;5;34,574194;24,706667;64,306452;4,11552;1,856457
28/02/2015;2;35,972;25,060714;59,41;4,11552;1,884137
31/03/2015;2;35,22069;25,448387;63,646552;4,62996;1,905958
30/04/2015;7;35,376667;25,36;66,933333;4,11552;1,826262
31/05/2015;18;32,144828;24,380645;83,405172;3,08664;1,00358
30/06/2015;20;33,343478;24,4;84,608696;3,08664;0,808406
31/07/2015;21;33,05;24,13871;85,1;2,5722;0,640942
31/08/2015;16;34,553571;24,835484;84,571429;2,5722;0,845774
30/09/2015;4;36,61;25,506897;71,466667;2,5722;1,063757
31/10/2015;5;37,829032;26,02;68,225806;3,08664;1,256583
30/11/2015;7;36,59;26,02;70,933333;10,2888;1,851984
31/12/2015;7;32,75;25,048387;72,033333;8,74548;3,703968
31/01/2016;null;null;25,15;63,071429;9,77436;4,289906
29/02/2016;8;null;25,496552;70,655172;9,25992;2,785072
31/03/2016;1;null;26,413333;65;8,74548;3,016885
30/04/2016;5;null;null;null;null;null
31/05/2016;19;33,210714;24,916667;84,321429;2,5722;0,700703
30/06/2016;24;32,8;24,003333;86,827586;3,08664;0,549317
31/07/2016;22;32,877419;24,226667;86,419355;2,5722;0,51444
31/08/2016;15;34,526667;24,36;81,283333;5,1444;0,674675
30/09/2016;9;35,841379;24,65;75,724138;3,60108;0,828336
31/10/2016;6;36,48;25,332143;71,466667;4,62996;1,259491
30/11/2016;5;35,807407;25,417857;76,333333;4,62996;0,954052
31/12/2016;7;35,167857;25,296552;80,392857;7,20216;1,687724
31/01/2017;5;33,893548;24,329032;75,068966;5,4;1,563136
28/02/2017;1;null;null;null;null;null
31/03/2017;8;33,7875;24,544444;78,958333;5,1444;1,224367
30/04/2017;11;34,665517;24,87931;76,689655;4,62996;1,436884
31/05/2017;18;33,380645;24,632258;83,580645;4,11552;0,779957
30/06/2017;21;33,028;24,465517;85,6;2,05776;0,504913
31/07/2017;27;32,5;23,692857;88;1,02888;0,324909
31/08/2017;10;35,775862;24,948276;76,103448;2,5722;0,8574
30/09/2017;4;35,492308;24,885185;77,384615;3,08664;0,902697
31/10/2017;null;36,593333;25,529032;72,9;5,65884;1,644521
30/11/2017;null;37,313333;25,535714;68,5;6,17328;2,013412
31/12/2017;null;35,734783;25,131818;70,73913;6,17328;2,180778
31/01/2018;null;null;null;null;null;null
28/02/2018;null;null;null;null;null;null
31/03/2018;null;37,148387;25,283871;72,580645;5,1444;2,273493
30/04/2018;null;35,873333;25,066667;71,233333;5,1444;1,80054
31/05/2018;null;33,580645;24,016129;82,741935;4,11552;1,184408
30/06/2018;null;32,844828;23,74;84,456897;3,08664;0,876886
31/07/2018;null;32,574194;23,448387;85,733871;4,62996;0,990159
31/08/2018;null;35,75;24,187097;73,916667;4,11552;1,181516
30/09/2018;null;36,413333;24,513333;74,991667;5,1444;1,177496
31/10/2018;null;37,896774;25,1;63,830645;3,08664;1,515662
30/11/2018;null;36,783333;25,39;68,316667;4,11552;1,646208
31/12/2018;null;35,019355;24,222581;66,370968;4,11552;2,22924
31/01/2019;null;36,112903;24,348387;63,741935;5;2,118901
28/02/2019;null;36,389286;24,728571;59,625;5;2,357143
31/03/2019;null;38,212903;25,706452;54,717742;5;2,225806
30/04/2019;null;36,936667;26,13;57,508333;4;1,911111
31/05/2019;null;32,229032;24,477419;83,862903;4;1,075269
30/06/2019;null;32,46;24,006667;83,608333;3;0,788889
31/07/2019;null;32,835484;23,751613;81,330645;4;1
31/08/2019;20;33,029032;23,712903;79,685484;3;1,033708
30/09/2019;null;34,583333;24;73,766667;5;1,3
31/10/2019;null;35,629032;24,741935;70,120968;4;1,473118
30/11/2019;11;34,833333;24,683333;71,566667;5;1,455556
31/12/2019;null;34,225806;24,722581;73,967742;4;1,612903
31/01/2020;null;35,3;24,43871;66,967742;4;1,72043
29/02/2020;null;35,537931;24,672414;60,956897;5;2,126437
31/03/2020;null;36,622581;25,493548;60,709677;5;1,903226
30/04/2020;6;35,546667;25,25;69,8;4;1,511111
31/05/2020;null;33,148387;24,480645;81,814516;4;0,978495
30/06/2020;25;32,2;23,563333;83,541667;2;0,788889
31/07/2020;24;33,029032;23,958065;82,258065;2;0,741935
31/08/2020;24;33,667742;24,474194;79,532258;4;0,989247
30/09/2020;6;35,703333;24,95;70,025;3;1,088889
31/10/2020;7;36,367742;25,190323;67,927419;4;1,311828
30/11/2020;13;34,93;24,786667;75,741667;4;1,144444
31/12/2020;9;33,777419;24,693548;74,532258;3;1,172043
31/01/2021;10;33,822581;23,906452;73,790323;4;1,44086
