datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/08/18 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,11.3,0,3.33292,-60.72581,7.9
2021/09/17 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,10,0,0.2,3.18131,-60.5652,13.9
2021/09/24 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,0,0.2,3.27147,-60.67356,9.3
2021/09/30 17:09:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0,2.48982,-60.87775,36.1
2021/10/02 16:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0.1,0.1,2.49262,-60.86634,44.1
2021/10/10 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.4,3.38313,-60.359,51.1
2021/10/10 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.4,3.38166,-60.3696,37.4
2021/10/10 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.3,0.1,3.04436,-60.81733,17.4
2021/10/12 17:32:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0.6,0.1,3.16,-60.71842,10
2021/10/14 17:20:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,1.7,0.2,2.88706,-60.84001,20.4
2021/10/14 17:20:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,1.7,0.2,3.05733,-60.684,22.6
2021/10/16 17:09:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.2,3.25898,-60.47145,78.9
2021/10/16 17:09:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.3,3.25568,-60.49274,76.3
2021/10/16 17:09:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.3,3.2468,-60.48466,88.5
2021/10/16 17:09:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.3,3.21895,-60.46535,19.2
2021/10/28 17:34:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0,3.41917,-60.97212,9.8
2021/11/02 17:52:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0.1,0.1,3.40135,-60.9393,17
2021/11/02 17:52:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,7,0,0.4,3.1504,-60.46285,29.4
2021/11/02 17:52:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.1,2.5548,-60.86306,17.8
2021/11/04 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.1,3.37449,-60.92656,8.8
2021/11/04 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.1,3.3732,-60.93553,9.1
2021/11/04 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.1,2.55584,-60.86374,11.5
2021/11/06 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,10,0.4,0.2,3.0242,-60.81079,59.5
2021/11/09 17:58:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.2,2.94131,-60.88597,18
2021/11/18 17:51:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,9,0.4,0.4,3.21078,-60.86319,8.1
2021/11/22 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,1.9,0,2.91732,-60.71097,20.4
2021/11/24 17:13:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,3.24473,-60.46669,18.3
2021/11/24 17:15:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,3.24157,-60.45483,22.7
2021/12/08 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.7,0.6,3.03567,-60.68255,22.6
2021/12/08 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.7,0.6,3.03412,-60.69292,68.5
2021/12/08 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.8,0.6,3.0319,-60.68713,85.8
2021/12/08 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.8,0.5,3.03041,-60.69753,71.8
2021/12/26 17:15:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0,3.31883,-60.70664,33.6
2021/12/05 16:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0,0.4,2.94999,-60.6771,223.5
2021/12/05 16:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0,0.4,2.95196,-60.68497,154.9
2021/12/05 16:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.4,2.95832,-60.6461,137.3
2021/12/05 16:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.4,2.96724,-60.67981,143
2021/12/15 17:34:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,0,0.1,3.25718,-60.68508,10.2
2021/12/15 17:34:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,0,0.1,3.25588,-60.69417,4.2
2021/05/19 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,4.9,0.1,3.435,-60.919,15
2021/05/19 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,5,0.1,3.426,-60.918,9
2021/04/01 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.8,3.363,-60.38,25
2021/04/03 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,4,0,0.2,3.016,-60.922,15.4
