datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/01/15 17:02:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,0,0.2,0.7,2.659,-60.481,
2017/01/02 17:33:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,2.4,0.4,4.328,-60.781,
2017/01/02 17:32:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.6,1,3.822,-60.46,
2017/01/02 17:32:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.7,1,3.832,-60.452,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,1,4.494,-60.223,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.3,1,4.047,-60.503,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.4,1,4.04,-60.482,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.3,1,4.037,-60.502,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.4,1,4.029,-60.491,
2017/01/11 17:26:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.5,1,4.093,-61.15,
2017/01/02 17:32:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.7,1,3.823,-60.451,
2017/01/14 17:56:00,AQUA_M-T,Brasil,RORAIMA,CARACARAI,Amazonia,0,1,0.5,1.219,-60.667,
2017/01/09 17:38:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0.3,1,2.741,-60.748,
2017/01/09 17:38:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,0.3,1,3.025,-60.048,
2017/01/16 17:45:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,1,4.33,-60.375,
2017/01/02 17:32:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.6,1,3.831,-60.461,
2017/01/02 17:32:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.2,1,3.673,-60.792,
