datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/07/07 17:20:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0.3,0,4.267,-59.759,12.8
2020/07/07 17:20:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0.3,0,4.265,-59.77,9.5
2020/07/08 18:00:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0,3.448,-59.885,23.9
2020/07/12 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,1.5,0.1,3.458,-59.855,8.8
2020/07/17 17:55:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,27.5,0,3.123,-61.179,14.3
2020/07/17 17:55:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,27.2,0,3.121,-61.193,34.8
2020/07/17 17:55:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,6.2,0,2.677,-60.137,19.9
2020/07/30 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,0.938,-59.497,6.1
2020/07/30 17:25:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,2,0,0,0.894,-60.531,8.6
2020/08/13 17:35:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,1,6.9,0,4.941,-60.17,17.6
2020/08/13 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,1,13.5,0,4.312,-60.768,18.1
2020/08/13 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,1,13.4,0,4.311,-60.777,14.4
2020/08/15 17:25:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,8.2,0,4.152,-61.142,8.9
2020/08/15 17:25:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,8.2,0,4.156,-61.138,7.3
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,4,1.5,0,0.736,-60.449,7.4
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,4,0,0.3,2.774,-61.302,11.4
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,4,0.9,0,0.396,-60.495,4.8
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.1,0.1,3.43,-60.201,12.4
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,0,0.1,0.1,3.429,-60.21,8.3
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,4,0,0,3.48,-61.33,6.3
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,2,0,0.1,4.895,-60.192,38.8
2020/08/22 17:23:11,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,4,0,0,3.489,-61.332,7.8
2020/08/24 17:10:20,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,4,1.2,0.1,3.169,-61.053,12.8
2020/09/05 17:45:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0.5,0.1,3.111,-60.79,6.5
2020/09/07 17:30:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,6,6.9,0,0.559,-60.295,73.9
2020/09/07 17:30:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,6,6.5,0,0.56,-60.285,27.2
2020/09/07 17:30:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,10.3,0,3.049,-60.384,5
2020/09/07 17:30:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,0,33.2,0,3.492,-61.079,7.6
2020/09/12 17:50:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.1,3.095,-60.774,40.3
2020/09/12 17:50:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.2,3.069,-60.058,20.6
2020/09/12 17:50:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.2,3.067,-60.066,16
2020/09/12 17:50:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0.1,2.886,-63.694,10.3
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,3,2.5,0.1,0.032,-60.644,9
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,3,0.7,0.2,2.413,-60.991,11.1
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,0,0.1,4.094,-60.757,11
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0.3,0.1,3.133,-61.231,59.1
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,1,0.3,0.1,3.134,-61.222,8.9
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,3,0,0,4.038,-61.341,4.9
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,0,0,4.074,-61.026,6.9
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,0,0,4.318,-60.862,6.1
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,4,0,0.2,2.937,-60.278,9.4
2020/09/14 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0.1,0.1,3.218,-60.695,7.9
2020/09/18 17:10:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0.7,0,3.421,-60.987,17.6
2020/09/18 17:10:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0,0.2,3.282,-60.693,15.7
2020/09/19 17:55:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.8,3.183,-59.925,26.1
2020/09/20 17:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.3,2.951,-60.582,57.3
2020/09/21 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0.1,2.875,-63.69,14
2020/09/21 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0,3.287,-63.901,7.7
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,5,0.6,0,4.139,-61.177,16.7
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0.4,0.2,2.351,-60.995,11.5
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,1,0.9,0.1,1.92,-60.408,29.9
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,2,1,0.1,1.919,-60.417,17.6
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,1.1,0.3,3.391,-60.688,27.9
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,1,0.3,3.39,-60.697,21.8
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,4.1,0,4.651,-60.931,28.1
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,3.7,0,4.649,-60.943,23.8
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,7,0,0.2,3.896,-61.454,13.2
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0,0.3,3.12,-61.182,14.2
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,SAO LUIZ,Amazonia,0,0,0,0.974,-60.005,22.1
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1.4,0,0.81,-59.521,10.5
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,0.5,3.913,-59.711,11.4
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,2.3,0.2,3.021,-60.11,16.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,3.229,-60.652,8.9
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,2.896,-60.726,63.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.1,3.458,-61.37,8.7
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.2,3.505,-60.719,13.8
