datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,1,0.48,0.55,3.34273,-60.45629,39.7
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,23,0.2,0.86,3.09221,-60.77706,14.7
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,24,0.2,0.85,3.09046,-60.7896,30.9
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,24,0.2,0.87,3.07998,-60.78811,33.5
2023/01/21 17:38:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.08,3.06176,-60.84478,5.7
2023/01/26 17:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,4,0,0.54,3.44094,-60.39097,8.8
2023/01/26 17:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,4,0,0.54,3.43936,-60.40196,13.3
2023/01/26 17:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,4,0,0.52,3.43823,-60.47982,28.1
2023/01/26 17:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,4,0,0.52,3.43667,-60.49068,73.6
2023/01/26 17:56:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,0,0.28,2.90653,-60.70983,22.7
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.73,3.39202,-60.50681,10.2
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.75,3.38584,-60.35959,9.9
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.75,3.38455,-60.36853,23
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,-999,2.83468,-60.67166,10.8
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.23,2.74199,-60.73518,122.8
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.23,2.74066,-60.74429,43.8
2023/01/28 17:41:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.23,2.73295,-60.73386,9.6
2023/01/29 18:23:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.39,2.87252,-60.94041,39.6
2023/01/30 17:28:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.67,3.00918,-60.86621,27.9
2023/01/30 17:28:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,7,0,0.36,2.72714,-60.9052,18.7
2023/02/02 17:58:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,9,0,0.72,2.71116,-60.82948,9.2
2023/02/02 17:58:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,10,0,0.7,2.7013,-60.82807,18.5
2023/02/11 17:47:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,1,3.34194,-60.43465,9.6
2023/02/11 17:47:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.59,3.26997,-60.99743,11.3
2023/02/11 17:47:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,1,3.22238,-60.74805,17.6
2023/02/11 17:47:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,6,0,0.98,3.35131,-60.62431,12.7
2023/02/16 18:02:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,,,,2.75345,-60.8898,18.5
2023/02/18 17:49:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.1,1,3.20955,-60.5921,10.1
2023/02/27 17:36:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.57,3.25358,-60.98477,9.6
2023/03/10 17:11:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.63,3.14721,-60.6801,46.1
2023/03/10 17:11:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.8,3.13682,-60.67402,52
2023/03/10 17:11:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,1,2.87157,-60.61455,44.8
2023/03/13 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,,,,3.27007,-60.94754,29.1
2023/03/13 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,,,,3.32004,-60.71535,20.6
2023/03/13 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,,,,3.32144,-60.70587,15.1
2023/03/13 17:39:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,,,,3.32285,-60.6964,10.2
2023/03/15 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,1,3.47329,-60.31442,18.2
2023/03/15 17:26:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,0,1,3.32973,-60.87762,49.5
